cell_id,n_pixels,status
R01C09_S32-S30_W56-W54,36947014,ok
R01C11_S32-S30_W52-W50,33043833,ok
R02C09_S30-S28_W56-W54,52833247,ok
R04C11_S26-S24_W52-W50,55071241,ok
R05C09_S24-S22_W56-W54,44280303,ok
R05C10_S24-S22_W54-W52,55071241,ok
R05C13_S24-S22_W48-W46,54644797,ok
R05C15_S24-S22_W44-W42,26231930,ok
R06C12_S22-S20_W50-W48,55071241,ok
R06C14_S22-S20_W46-W44,55071241,ok
R06C15_S22-S20_W44-W42,55071241,ok
R07C08_S20-S18_W58-W56,49173815,ok
R07C09_S20-S18_W56-W54,55071241,ok
R07C12_S20-S18_W50-W48,55071241,ok
R07C16_S20-S18_W42-W40,54785942,ok
R08C08_S18-S16_W58-W56,53122323,ok
R08C09_S18-S16_W56-W54,55071241,ok
R08C12_S18-S16_W50-W48,55071241,ok
R08C13_S18-S16_W48-W46,55071241,ok
R08C15_S18-S16_W44-W42,55071241,ok
R08C16_S18-S16_W42-W40,55071241,ok
R09C14_S16-S14_W46-W44,55071241,ok
R09C15_S16-S14_W44-W42,55071241,ok
R09C16_S16-S14_W42-W40,55071241,ok
R09C17_S16-S14_W40-W38,28093631,ok
R10C09_S14-S12_W56-W54,55071241,ok
R10C10_S14-S12_W54-W52,55071241,ok
R10C13_S14-S12_W48-W46,55071241,ok
R10C14_S14-S12_W46-W44,55071241,ok
R10C17_S14-S12_W40-W38,41480415,ok
R11C04_S12-S10_W66-W64,35342049,ok
R11C06_S12-S10_W62-W60,55071241,ok
R11C07_S12-S10_W60-W58,55071241,ok
R11C08_S12-S10_W58-W56,55071241,ok
R11C09_S12-S10_W56-W54,55071241,ok
R11C10_S12-S10_W54-W52,55071241,ok
R11C13_S12-S10_W48-W46,55071241,ok
R11C14_S12-S10_W46-W44,55071241,ok
R12C00_S10-S8_W74-W72,26687754,ok
R12C02_S10-S8_W70-W68,55071241,ok
R12C05_S10-S8_W64-W62,55071241,ok
R12C07_S10-S8_W60-W58,55071241,ok
R12C13_S10-S8_W48-W46,55071241,ok
R12C15_S10-S8_W44-W42,55071241,ok
R12C16_S10-S8_W42-W40,55071241,ok
R12C18_S10-S8_W38-W36,55071231,ok
R13C01_S8-S6_W72-W70,55071241,ok
R13C10_S8-S6_W54-W52,55071240,ok
R13C12_S8-S6_W50-W48,55071241,ok
R13C13_S8-S6_W48-W46,55071241,ok
R13C15_S8-S6_W44-W42,55071241,ok
R13C18_S8-S6_W38-W36,55071241,ok
R14C01_S6-S4_W72-W70,45399860,ok
R14C02_S6-S4_W70-W68,54739482,ok
R14C03_S6-S4_W68-W66,55071241,ok
R14C04_S6-S4_W66-W64,55071241,ok
R14C05_S6-S4_W64-W62,55071241,ok
R14C09_S6-S4_W56-W54,55071241,ok
R14C11_S6-S4_W52-W50,55071241,ok
R14C17_S6-S4_W40-W38,54636764,ok
R14C18_S6-S4_W38-W36,31760147,ok
R15C08_S4-S2_W58-W56,55071241,ok
R15C09_S4-S2_W56-W54,55071241,ok
R15C11_S4-S2_W52-W50,55071241,ok
R15C12_S4-S2_W50-W48,55071241,ok
R15C13_S4-S2_W48-W46,55071241,ok
R15C15_S4-S2_W44-W42,40422694,ok
R15C16_S4-S2_W42-W40,31849721,ok
R16C03_S2-N0_W68-W66,55071240,ok
R16C04_S2-N0_W66-W64,55071241,ok
R16C11_S2-N0_W52-W50,55071241,ok
R17C02_N0-N2.00012_W70-W68,41761408,ok
R17C03_N0-N2.00012_W68-W66,38594914,ok
R17C04_N0-N2.00012_W66-W64,32310055,ok
R17C05_N0-N2.00012_W64-W62,55015566,ok
R17C06_N0-N2.00012_W62-W60,55078662,ok
R17C11_N0-N2.00012_W52-W50,53062888,ok
R18C05_N2.00012-N4.00012_W64-W62,48932829,ok
R18C06_N2.00012-N4.00012_W62-W60,55071241,ok
R18C11_N2.00012-N4.00012_W52-W50,28799665,ok
