cell_id,bioma,bioma_dom,n_analisados,N_para_P,N_para_A,N_para_out,P_para_A,estavel,alt_N_W,alt_N_A,alt_N_P,W_para_N,A_para_N,P_para_N,N_para_P_pct,N_para_A_pct,N_para_out_pct,P_para_A_pct,estavel_pct,alt_N_W_pct,alt_N_A_pct,alt_N_P_pct,W_para_N_pct,A_para_N_pct,P_para_N_pct
R01C09_S32-S30_W56-W54,PP,PP,1000,0,237,13,0,943,2,56,0,0,25,0,0.0,23.7,1.3,0.0,94.3,0.2,5.6,0.0,0.0,2.5,0.0
R01C11_S32-S30_W52-W50,PP,PP,1000,0,101,19,0,962,8,25,0,11,22,0,0.0,10.1,1.9,0.0,96.2,0.8,2.5,0.0,1.1,2.2,0.0
R02C09_S30-S28_W56-W54,M-PP,M,1000,1,220,11,3,908,0,42,0,1,28,3,0.1,22.0,1.1,0.3,90.8,0.0,4.2,0.0,0.1,2.8,0.3
R04C11_S26-S24_W52-W50,M,M,1000,31,74,4,185,819,3,2,0,1,10,13,3.1,7.4,0.4,18.5,81.9,0.3,0.2,0.0,0.1,1.0,1.3
R05C09_S24-S22_W56-W54,C-M,C,1000,73,15,3,311,902,5,0,7,2,0,22,7.3,1.5,0.3,31.1,90.2,0.5,0.0,0.7,0.2,0.0,2.2
R05C10_S24-S22_W54-W52,M,M,1000,45,9,9,316,874,4,0,2,5,1,19,4.5,0.9,0.9,31.6,87.4,0.4,0.0,0.2,0.5,0.1,1.9
R05C13_S24-S22_W48-W46,C-M,C,1000,17,22,6,145,749,4,1,0,5,8,13,1.7,2.2,0.6,14.5,74.9,0.4,0.1,0.0,0.5,0.8,1.3
R05C15_S24-S22_W44-W42,M,M,1000,24,2,2,8,777,0,0,0,2,1,30,2.4,0.2,0.2,0.8,77.7,0.0,0.0,0.0,0.2,0.1,3.0
R06C12_S22-S20_W50-W48,C-M,C,1000,10,10,1,366,760,1,0,0,1,3,5,1.0,1.0,0.1,36.6,76.0,0.1,0.0,0.0,0.1,0.3,0.5
R06C14_S22-S20_W46-W44,C-M,C,1000,58,20,5,175,832,1,0,7,1,3,34,5.8,2.0,0.5,17.5,83.2,0.1,0.0,0.7,0.1,0.3,3.4
