OID,Shape_Length,Shape_Area,ROW,COL,LAT_MIN,LAT_MAX,LON_MIN,LON_MAX,CELL_ID,Cobertura,bioma,bioma_dom
30,8.0,4.0,1,9,-32.0,-30.0,-56,-54,R01C09_S32-S30_W56-W54,70,PP,PP
32,8.0,4.0,1,11,-32.0,-30.0,-52,-50,R01C11_S32-S30_W52-W50,60,PP,PP
50,8.0,4.0,2,9,-30.0,-28.0,-56,-54,R02C09_S30-S28_W56-W54,90,M-PP,M
92,8.0,4.0,4,11,-26.0,-24.0,-52,-50,R04C11_S26-S24_W52-W50,100,M,M
110,8.0,4.0,5,9,-24.0,-22.0,-56,-54,R05C09_S24-S22_W56-W54,80,C-M,C
111,8.0,4.0,5,10,-24.0,-22.0,-54,-52,R05C10_S24-S22_W54-W52,100,M,M
114,8.0,4.0,5,13,-24.0,-22.0,-48,-46,R05C13_S24-S22_W48-W46,90,C-M,C
116,8.0,4.0,5,15,-24.0,-22.0,-44,-42,R05C15_S24-S22_W44-W42,50,M,M
133,8.0,4.0,6,12,-22.0,-20.0,-50,-48,R06C12_S22-S20_W50-W48,100,C-M,C
135,8.0,4.0,6,14,-22.0,-20.0,-46,-44,R06C14_S22-S20_W46-W44,100,C-M,C
136,8.0,4.0,6,15,-22.0,-20.0,-44,-42,R06C15_S22-S20_W44-W42,100,M,M
149,8.0,4.0,7,8,-20.0,-18.0,-58,-56,R07C08_S20-S18_W58-W56,80,P,P
150,8.0,4.0,7,9,-20.0,-18.0,-56,-54,R07C09_S20-S18_W56-W54,100,C-P,C
153,8.0,4.0,7,12,-20.0,-18.0,-50,-48,R07C12_S20-S18_W50-W48,100,C-M,C
157,8.0,4.0,7,16,-20.0,-18.0,-42,-40,R07C16_S20-S18_W42-W40,100,M,M
169,8.0,4.0,8,8,-18.0,-16.0,-58,-56,R08C08_S18-S16_W58-W56,80,P,P
170,8.0,4.0,8,9,-18.0,-16.0,-56,-54,R08C09_S18-S16_W56-W54,100,C-P,C
173,8.0,4.0,8,12,-18.0,-16.0,-50,-48,R08C12_S18-S16_W50-W48,100,C,C
174,8.0,4.0,8,13,-18.0,-16.0,-48,-46,R08C13_S18-S16_W48-W46,100,C,C
